2025-01-17 16:04:57,777 Load: ./mats/VGON_nqd7_L3_20250117_122410.mat, 1000/1000
2025-01-17 16:04:57,777 PyTorch Device: cuda
2025-01-17 16:04:57,778 Number of layers: 3
2025-01-17 16:04:57,778 Number of qudits: 7
2025-01-17 16:04:57,778 Number of qubits: 14
2025-01-17 16:04:57,778 Coefficient phase: 0.49π
2025-01-17 16:04:58,141 Ground State Energy: 5.8611
2025-01-17 16:13:09,783 Energy: 5.89233087, 5.89210778, 5.89184436, Gap: 3.1036e-02, 608/608, 76/100, 491.43
2025-01-17 16:13:16,041 Energy: 5.89250208, 5.89213028, 5.89194257, Gap: 3.1058e-02, 616/616, 77/100, 497.69
2025-01-17 16:13:22,303 Energy: 5.89233252, 5.89205386, 5.89191431, Gap: 3.0982e-02, 624/624, 78/100, 503.95
2025-01-17 16:13:28,770 Energy: 5.89274370, 5.89211327, 5.89182857, Gap: 3.1041e-02, 632/632, 79/100, 510.42
2025-01-17 16:13:35,076 Energy: 5.89244170, 5.89213890, 5.89200031, Gap: 3.1067e-02, 640/640, 80/100, 516.73
2025-01-17 16:13:41,579 Energy: 5.89222780, 5.89207555, 5.89175836, Gap: 3.1003e-02, 648/648, 81/100, 523.23
2025-01-17 16:13:47,919 Energy: 5.89235599, 5.89207899, 5.89183394, Gap: 3.1007e-02, 656/656, 82/100, 529.57
2025-01-17 16:13:54,271 Energy: 5.89253055, 5.89215885, 5.89186313, Gap: 3.1087e-02, 664/664, 83/100, 535.92
2025-01-17 16:14:00,775 Energy: 5.89251047, 5.89225450, 5.89194374, Gap: 3.1182e-02, 672/672, 84/100, 542.43
2025-01-17 16:14:07,084 Energy: 5.89221401, 5.89206213, 5.89190514, Gap: 3.0990e-02, 680/680, 85/100, 548.74
2025-01-17 16:14:13,404 Energy: 5.89289816, 5.89228793, 5.89186262, Gap: 3.1216e-02, 688/688, 86/100, 555.05
2025-01-17 16:14:19,839 Energy: 5.89251179, 5.89214283, 5.89188487, Gap: 3.1071e-02, 696/696, 87/100, 561.49
2025-01-17 16:14:26,135 Energy: 5.89216724, 5.89205261, 5.89193434, Gap: 3.0980e-02, 704/704, 88/100, 567.79
2025-01-17 16:14:32,445 Energy: 5.89262672, 5.89213587, 5.89183949, Gap: 3.1064e-02, 712/712, 89/100, 574.10
2025-01-17 16:14:38,876 Energy: 5.89215430, 5.89199242, 5.89187380, Gap: 3.0920e-02, 720/720, 90/100, 580.53
2025-01-17 16:14:45,163 Energy: 5.89235373, 5.89216721, 5.89194114, Gap: 3.1095e-02, 728/728, 91/100, 586.81
2025-01-17 16:14:51,441 Energy: 5.89234039, 5.89208039, 5.89185711, Gap: 3.1008e-02, 736/736, 92/100, 593.09
2025-01-17 16:14:57,985 Energy: 5.89243888, 5.89211931, 5.89200929, Gap: 3.1047e-02, 744/744, 93/100, 599.64
2025-01-17 16:15:04,295 Energy: 5.89231838, 5.89215028, 5.89188249, Gap: 3.1078e-02, 752/752, 94/100, 605.95
2025-01-17 16:15:10,639 Energy: 5.89244655, 5.89209514, 5.89169056, Gap: 3.1023e-02, 760/760, 95/100, 612.29
2025-01-17 16:15:16,960 Energy: 5.89261113, 5.89223018, 5.89197215, Gap: 3.1158e-02, 768/768, 96/100, 618.61
2025-01-17 16:15:23,413 Energy: 5.89249835, 5.89218399, 5.89187032, Gap: 3.1112e-02, 776/776, 97/100, 625.06
2025-01-17 16:15:29,713 Energy: 5.89238078, 5.89215688, 5.89187035, Gap: 3.1085e-02, 784/784, 98/100, 631.36
2025-01-17 16:15:36,156 Energy: 5.89227229, 5.89205254, 5.89189287, Gap: 3.0980e-02, 792/792, 99/100, 637.81
2025-01-17 16:15:42,476 Energy: 5.89241516, 5.89215680, 5.89194582, Gap: 3.1085e-02, 800/800, 100/100, 644.13
2025-01-17 16:15:42,478 Save: ./mats/VGON_nqd7_L3_20250117_122410.mat with count and overlaps
2025-01-17 16:15:42,538 Load: ./mats/VGON_nqd7_L3_20250117_093043.mat, 1000/1000
2025-01-17 16:15:42,538 PyTorch Device: cuda
2025-01-17 16:15:42,538 Number of layers: 3
2025-01-17 16:15:42,538 Number of qudits: 7
2025-01-17 16:15:42,538 Number of qubits: 14
2025-01-17 16:15:42,538 Coefficient phase: -0.74π
2025-01-17 16:15:42,864 Ground State Energy: -8.8517
2025-01-17 16:15:49,218 Energy: -8.79943285, -8.79975804, -8.80030791, Gap: 5.1908e-02, 8/8, 1/100, 6.27
2025-01-17 16:15:55,684 Energy: -8.79814925, -8.79964957, -8.80011635, Gap: 5.2016e-02, 16/16, 2/100, 12.73
2025-01-17 16:16:01,950 Energy: -8.79694374, -8.79925186, -8.80028406, Gap: 5.2414e-02, 24/24, 3/100, 19.00
2025-01-17 16:16:08,268 Energy: -8.79842885, -8.79970179, -8.80065295, Gap: 5.1964e-02, 32/32, 4/100, 25.32
2025-01-17 16:16:14,742 Energy: -8.79817092, -8.79953505, -8.80042580, Gap: 5.2131e-02, 40/40, 5/100, 31.79
2025-01-17 16:16:21,058 Energy: -8.79864994, -8.79969553, -8.80070046, Gap: 5.1970e-02, 48/48, 6/100, 38.11
2025-01-17 16:16:27,492 Energy: -8.79841115, -8.79969928, -8.80070106, Gap: 5.1966e-02, 56/56, 7/100, 44.54
2025-01-17 16:16:33,795 Energy: -8.79874003, -8.79959203, -8.80014212, Gap: 5.2074e-02, 64/64, 8/100, 50.84
2025-01-17 16:16:40,094 Energy: -8.79809080, -8.79914039, -8.80037563, Gap: 5.2525e-02, 72/72, 9/100, 57.14
2025-01-17 16:16:46,557 Energy: -8.79900777, -8.79970464, -8.80041679, Gap: 5.1961e-02, 80/80, 10/100, 63.61
2025-01-17 16:16:52,888 Energy: -8.79854858, -8.79968432, -8.80025815, Gap: 5.1981e-02, 88/88, 11/100, 69.94
2025-01-17 16:16:59,194 Energy: -8.79887443, -8.79974178, -8.80033190, Gap: 5.1924e-02, 96/96, 12/100, 76.24
2025-01-17 16:17:05,645 Energy: -8.79917379, -8.79970329, -8.80045452, Gap: 5.1962e-02, 104/104, 13/100, 82.69
2025-01-17 16:17:11,900 Energy: -8.79853952, -8.79981198, -8.80055706, Gap: 5.1854e-02, 112/112, 14/100, 88.95
2025-01-17 16:17:18,202 Energy: -8.79875475, -8.79969469, -8.80024795, Gap: 5.1971e-02, 120/120, 15/100, 95.25
2025-01-17 16:17:24,669 Energy: -8.79800545, -8.79989551, -8.80064819, Gap: 5.1770e-02, 128/128, 16/100, 101.72
2025-01-17 16:17:30,982 Energy: -8.79704029, -8.79954543, -8.80049420, Gap: 5.2120e-02, 136/136, 17/100, 108.03
